Sequence,Geo-X,Geo-Y,Geo-Z,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-z
2,-0.551,-1.030516,-0.253771,-0.972542,-0.02125,-0.048479,-0.354806,-0.261763,-0.027057
3,-0.555601,-1.030516,-0.277316,-0.974149,-0.030083,-0.036432,-0.291923,0.178865,-1.034226
4,-0.555601,-1.030516,-0.277316,-0.963709,-0.029281,-0.03081,-0.354806,-0.135848,-0.782397
5,-0.5487,-1.030516,-0.24069,-0.967724,-0.02125,-0.043659,-0.669518,-0.45056,-0.530716
6,-0.553301,-1.030516,-0.24069,-0.963709,-0.030886,-0.037235,-0.480721,-0.576475,-0.530716
7,-0.560203,-1.028122,-0.261619,-0.978968,-0.033297,-0.040448,-0.543603,-0.765273,-0.782397
8,-0.546399,-1.025729,-0.269468,-0.978164,-0.025266,-0.043659,-0.858316,-0.135848,-1.034226
9,-0.544098,-1.03291,-0.261619,-0.966118,-0.022855,-0.028401,-0.543603,-0.324646,-1.223024
10,-0.544098,-1.03291,-0.261619,-0.975755,-0.025266,-0.035628,-0.858316,-0.135848,-0.656482
11,-0.562503,-1.023335,-0.266851,-0.970133,-0.030083,-0.04125,-0.606635,-0.072965,-0.341769
12,-0.560203,-1.025729,-0.261619,-0.970133,-0.027674,-0.038037,-0.606635,-0.45056,-0.530716
13,-0.555601,-1.028122,-0.272084,-0.972542,-0.020446,-0.049281,-0.858316,-0.198731,-0.908311
14,-0.555601,-1.035304,-0.287781,-0.975755,-0.02687,-0.031613,-0.480721,-0.009933,-1.034226
15,-0.560203,-1.020941,-0.253771,-0.960495,-0.033297,-0.016353,-0.480721,-0.513443,-0.971194
16,-0.557902,-1.020941,-0.287781,-0.962904,-0.02125,-0.045266,-0.480721,0.241748,-0.278886
17,-0.557902,-1.020941,-0.287781,-0.977362,-0.015628,-0.03081,-0.73255,-0.576475,-1.223024
18,-0.553301,-1.025729,-0.256387,-0.96692,-0.032492,-0.036432,-0.606635,-0.576475,-0.216004
19,-0.567104,-1.01376,-0.261619,-0.976557,-0.034901,-0.036432,-0.606635,0.05295,-0.908311
20,-0.562503,-1.035304,-0.264235,-0.958087,-0.03169,-0.045266,-0.291923,-0.198731,-0.782397
21,-0.567104,-1.020941,-0.261619,-0.974149,-0.018839,-0.038037,-0.103125,-0.324646,-0.971194
22,-0.564804,-1.023335,-0.253771,-0.97174,-0.026068,-0.044463,-0.669518,-0.387677,-0.656482
23,-0.564804,-1.023335,-0.253771,-0.983786,-0.015628,-0.040448,-0.291923,-0.135848,-0.719514
24,-0.571706,-1.030516,-0.243306,-0.967724,-0.03169,-0.059721,-0.103125,-0.261763,-0.782397
25,-0.569405,-1.035304,-0.251155,-0.97174,-0.027674,-0.030006,-0.417838,-0.45056,-0.908311
26,-0.576307,-1.030516,-0.290397,-0.966118,-0.029281,-0.04125,-0.669518,-0.135848,-1.034226
27,-0.569405,-1.037698,-0.287781,-0.978968,-0.034099,-0.033219,-0.291923,-0.513443,-0.656482
28,-0.571706,-1.030516,-0.277316,-0.973346,-0.025266,-0.009126,-0.795433,-0.639358,-0.593599
29,-0.571706,-1.030516,-0.277316,-0.959693,-0.032492,-0.042857,-0.543603,-0.009933,-0.782397
30,-0.564804,-1.028122,-0.285165,-0.962904,-0.034901,-0.032417,-0.858316,-0.135848,-1.097109
31,-0.564804,-1.025729,-0.290397,-0.963709,-0.034099,-0.048479,-0.543603,-0.639358,-0.656482
32,-0.569405,-1.025729,-0.2747,-0.974953,-0.030886,-0.045266,-0.606635,-0.135848,-1.034226
33,-0.564804,-1.018547,-0.279932,-0.970133,-0.024461,-0.036432,-0.606635,-0.198731,-0.719514
34,-0.560203,-1.028122,-0.293013,-0.979771,-0.018839,-0.027597,-0.228891,-0.45056,-0.845429
35,-0.557902,-1.023335,-0.261619,-0.968526,-0.020446,-0.050888,-0.73255,-0.576475,-0.971194
36,-0.557902,-1.023335,-0.261619,-0.977362,-0.030083,-0.045266,-0.669518,-0.513443,-0.656482
37,-0.564804,-1.023335,-0.272084,-0.963709,-0.023659,-0.033219,-0.543603,-0.261763,-0.782397
38,-0.560203,-1.030516,-0.279932,-0.973346,-0.034099,-0.040448,-0.228891,-0.324646,-0.971194
39,-0.555601,-1.025729,-0.261619,-0.970937,-0.029281,-0.05651,-0.543603,-0.261763,-1.097109
40,-0.555601,-1.023335,-0.264235,-0.97174,-0.036508,-0.039644,-0.921348,-0.198731,-1.034226
41,-0.553301,-1.028122,-0.251155,-0.966118,-0.042934,-0.050888,-0.543603,-0.261763,-0.719514
