Sequence,Geo-X,Geo-Y,Geo-Z,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-z
65,-0.995866,0.152073,0.213009,-1.037212,0.012448,0.116049,1.344681,3.358871,4.491806
66,-0.974998,0.144774,0.213009,-1.025166,-0.001205,0.088743,0.966936,3.295839,3.736466
67,-0.974998,0.154506,0.205263,-1.03641,0.001204,0.117654,1.281649,3.107041,3.988296
68,-0.974998,0.135041,0.200099,-1.033197,0.010841,0.108821,1.029968,3.673583,4.177094
69,-0.995866,0.144774,0.218172,-1.035606,0.010841,0.104805,1.344681,3.295839,4.365891
70,-0.986592,0.147207,0.220755,-1.028379,0.010039,0.108821,1.659393,3.170073,4.239976
71,-0.986592,0.147207,0.220755,-1.028379,0.00763,0.137733,1.344681,3.358871,4.491806
72,-0.991229,0.154506,0.213009,-1.033197,0.008432,0.108821,1.596361,3.736466,4.743636
73,-0.984273,0.147207,0.210427,-1.037212,0.014054,0.10079,1.344681,3.421754,3.988296
74,-0.986592,0.147207,0.200099,-1.03159,0.005219,0.105608,1.155883,3.736466,4.491806
75,-0.991229,0.147207,0.225918,-1.038819,0.00763,0.103199,1.218766,3.484786,4.303008
76,-0.993548,0.152073,0.21559,-1.039621,0.015661,0.114443,1.281649,3.358871,4.365891
77,-0.993548,0.147207,0.218172,-1.039621,0.011645,0.114443,1.470596,3.862381,4.428923
78,-0.993548,0.147207,0.218172,-1.037212,0.00281,0.117654,1.407564,3.295839,4.303008
79,-0.986592,0.152073,0.218172,-1.044441,0.015661,0.092759,1.092851,3.547668,4.114211
80,-0.984273,0.154506,0.225918,-1.035606,0.006826,0.116049,1.533478,3.421754,3.925264
81,-0.986592,0.147207,0.2285,-1.033999,0.022085,0.128096,1.155883,3.673583,3.862381
82,-0.991229,0.156939,0.233664,-1.033999,0.009234,0.079908,1.407564,3.673583,4.114211
83,-0.98891,0.14964,0.2285,-1.033197,0.008432,0.105608,0.966936,3.421754,4.051179
84,-0.98891,0.14964,0.236246,-1.040425,0.010841,0.113639,1.281649,3.736466,4.365891
85,-0.98891,0.14964,0.236246,-1.037212,0.012448,0.115245,1.407564,3.421754,4.428923
86,-0.986592,0.152073,0.21559,-1.038016,0.014856,0.128096,1.722276,3.799498,4.491806
87,-0.98891,0.156939,0.21559,-1.030788,0.01807,0.112836,1.281649,3.673583,4.743636
88,-0.98891,0.147207,0.202681,-1.033197,0.00281,0.103199,1.281649,2.981126,3.736466
89,-0.986592,0.152073,0.207845,-1.038016,0.015661,0.12408,1.218766,3.421754,4.239976
90,-0.984273,0.159373,0.225918,-1.03159,0.00281,0.096774,1.281649,3.295839,4.743636
91,-0.984273,0.159373,0.225918,-1.038819,0.014856,0.101592,1.407564,3.232956,4.239976
92,-0.986592,0.144774,0.213009,-1.037212,0.010039,0.106412,1.596361,3.295839,3.925264
93,-0.984273,0.14964,0.238828,-1.038819,0.008432,0.114443,1.596361,3.358871,4.177094
94,-0.981954,0.137474,0.202681,-1.032394,0.00763,0.101592,1.533478,3.925264,4.051179
95,-0.981954,0.152073,0.207845,-1.044441,0.018872,0.12408,0.778139,3.610551,4.617721
96,-0.984273,0.147207,0.225918,-1.034803,0.014856,0.1297,1.218766,3.547668,4.365891
97,-0.98891,0.147207,0.202681,-1.037212,0.011645,0.150582,1.470596,3.925264,4.177094
98,-0.98891,0.147207,0.202681,-1.035606,0.012448,0.110427,1.470596,3.484786,4.177094
99,-0.984273,0.14964,0.24141,-1.041228,0.011645,0.11123,1.155883,3.673583,4.554689
100,-0.977317,0.147207,0.225918,-1.039621,0.00763,0.119261,1.407564,3.547668,4.303008
101,-0.984273,0.147207,0.205263,-1.038016,0.012448,0.147369,1.407564,3.421754,3.925264
102,-0.974998,0.154506,0.236246,-1.029984,0.010039,0.09597,1.281649,3.547668,3.736466
103,-0.981954,0.152073,0.231082,-1.026772,0.012448,0.099986,1.407564,3.610551,4.303008
104,-0.981954,0.152073,0.231082,-1.028379,0.010841,0.113639,1.092851,3.484786,4.051179
105,-0.979636,0.152073,0.210427,-1.03641,0.00763,0.107214,1.344681,3.484786,4.365891
106,-0.97268,0.156939,0.220755,-1.038819,0.020479,0.107214,1.533478,3.107041,4.114211
107,-0.974998,0.159373,0.21559,-1.046047,0.020479,0.095168,1.281649,3.358871,3.673583
108,-0.991229,0.14964,0.218172,-1.037212,0.006023,0.120867,1.218766,3.107041,4.428923
109,-0.98891,0.152073,0.225918,-1.033197,0.00281,0.118458,1.344681,3.232956,4.428923
110,-0.981954,0.161806,0.194935,-1.021953,0.003614,0.114443,1.092851,3.421754,4.428923
111,-0.981954,0.161806,0.194935,-1.025968,-0.002008,0.144158,1.533478,3.547668,4.428923
112,-0.991229,0.159373,0.213009,-1.03641,0.008432,0.130505,1.407564,3.673583,4.617721
113,-0.984273,0.144774,0.220755,-1.03159,0.022085,0.120065,1.470596,3.610551,4.428923
114,-0.979636,0.144774,0.223336,-1.029984,0.010841,0.122474,1.281649,3.295839,4.114211
115,-0.986592,0.156939,0.21559,-1.032394,0.014054,0.087137,1.155883,3.295839,4.680604
116,-0.993548,0.152073,0.238828,-1.034803,0.011645,0.116049,1.218766,3.736466,4.303008
117,-0.993548,0.152073,0.238828,-1.03159,-0.000401,0.122474,1.281649,3.673583,4.051179
118,-0.998185,0.156939,0.233664,-1.026772,0.013252,0.140142,1.092851,3.358871,4.365891
119,-0.991229,0.152073,0.202681,-1.017135,-0.002008,0.123276,1.533478,3.610551,4.114211
120,-0.991229,0.147207,0.2285,-1.029984,0.00763,0.116049,1.344681,3.610551,3.799498
121,-0.984273,0.152073,0.233664,-1.026772,0.004417,0.104001,1.092851,3.044158,4.177094
122,-0.984273,0.14964,0.213009,-1.027575,0.003614,0.11123,1.344681,3.610551,4.617721
123,-0.984273,0.156939,0.207845,-1.033197,0.006023,0.120867,1.092851,3.295839,4.365891
124,-0.984273,0.156939,0.207845,-1.029984,0.010841,0.106412,0.904053,3.547668,3.862381
125,-0.974998,0.164239,0.218172,-1.032394,0.00281,0.10079,1.533478,3.673583,4.114211
126,-0.97268,0.159373,0.225918,-1.033197,0.00763,0.115245,1.155883,3.547668,4.303008
127,-0.979636,0.156939,0.223336,-1.032394,0.011645,0.114443,1.218766,3.610551,4.303008
128,-0.981954,0.156939,0.249155,-1.025166,0.008432,0.119261,1.344681,3.295839,4.365891
129,-0.979636,0.166672,0.231082,-1.029984,0.014054,0.125685,1.281649,3.295839,4.051179
130,-0.979636,0.166672,0.231082,-1.028379,0.010039,0.104805,1.218766,3.358871,3.925264
131,-0.979636,0.152073,0.207845,-1.038016,0.012448,0.107214,1.218766,3.295839,4.051179
132,-0.981954,0.14964,0.220755,-1.03159,0.012448,0.096774,1.344681,3.547668,4.365891
133,-0.979636,0.159373,0.210427,-1.032394,0.01807,0.102396,1.596361,3.421754,4.177094
134,-0.979636,0.166672,0.233664,-1.035606,0.009234,0.12408,1.407564,3.421754,3.925264
135,-0.977317,0.156939,0.207845,-1.040425,0.00763,0.11123,1.281649,3.358871,4.114211
136,-0.977317,0.161806,0.236246,-1.035606,0.003614,0.127292,1.155883,3.421754,4.491806
137,-0.977317,0.161806,0.236246,-1.034803,0.012448,0.117654,1.407564,3.547668,4.617721
138,-0.977317,0.147207,0.18719,-1.025166,0.008432,0.091152,1.470596,3.358871,4.365891
139,-0.977317,0.164239,0.220755,-1.038016,0.024494,0.109623,1.407564,3.610551,3.736466
140,-0.977317,0.156939,0.21559,-1.044441,0.01807,0.098381,1.344681,3.421754,4.680604
141,-0.97268,0.156939,0.233664,-1.042032,0.022085,0.112836,1.470596,3.673583,4.932433
142,-0.977317,0.14964,0.236246,-1.029984,0.005219,0.122474,1.344681,3.421754,4.428923
143,-0.981954,0.14964,0.205263,-1.026772,0.013252,0.119261,1.029968,3.295839,3.862381
144,-0.981954,0.14964,0.205263,-1.042834,0.014856,0.120065,1.155883,3.610551,4.428923
145,-0.979636,0.152073,0.220755,-1.042834,0.013252,0.114443,1.407564,3.170073,4.239976
146,-0.984273,0.152073,0.210427,-1.03159,0.014054,0.128096,1.029968,3.170073,4.177094
147,-0.986592,0.14964,0.220755,-1.038819,0.015661,0.103199,1.218766,3.358871,4.365891
148,-0.991229,0.154506,0.205263,-1.025166,0.008432,0.123276,1.407564,3.295839,4.239976
149,-0.979636,0.161806,0.231082,-1.034803,0.005219,0.118458,1.470596,3.484786,4.177094
150,-0.979636,0.161806,0.231082,-1.034803,0.002008,0.109623,1.407564,3.358871,4.365891
151,-0.977317,0.154506,0.231082,-1.038016,0.016463,0.122474,1.407564,3.862381,3.925264
152,-0.979636,0.154506,0.223336,-1.045243,0.010841,0.106412,1.596361,3.295839,3.988296
153,-0.986592,0.144774,0.225918,-1.033999,0.011645,0.139338,1.092851,3.673583,3.988296
154,-0.986592,0.147207,0.197517,-1.033999,0.010841,0.12167,1.596361,3.673583,3.862381
155,-0.974998,0.152073,0.236246,-1.028379,0.01807,0.115245,1.218766,3.547668,4.051179
156,-0.991229,0.156939,0.21559,-1.038016,0.015661,0.11123,1.029968,3.547668,4.428923
157,-0.991229,0.156939,0.21559,-1.03159,0.003614,0.114443,1.659393,3.232956,4.177094
158,-0.986592,0.135041,0.220755,-1.038016,0.003614,0.128096,1.785308,3.610551,4.365891
