Sequence,Geo-X,Geo-Y,Geo-Z,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-z
2,0.90312,-0.984217,-0.610624,-0.057422,-0.952885,0.137733,0.904053,3.358871,4.177094
3,0.900801,-0.981784,-0.610624,-0.054211,-0.951281,0.148173,1.155883,3.484786,3.988296
4,0.90312,-0.981784,-0.628698,-0.053407,-0.964934,0.156204,1.092851,3.484786,4.303008
5,0.898483,-0.981784,-0.615788,-0.059029,-0.954492,0.147369,1.029968,3.547668,4.114211
6,0.90312,-0.989084,-0.60546,-0.055013,-0.955296,0.140142,1.092851,3.484786,4.428923
7,0.90312,-0.989084,-0.60546,-0.058226,-0.954492,0.150582,1.155883,3.547668,4.114211
8,0.896164,-0.974484,-0.626116,-0.061437,-0.954492,0.176281,1.092851,3.925264,4.239976
9,0.896164,-0.972052,-0.620952,-0.060635,-0.958507,0.127292,1.281649,3.547668,4.428923
10,0.889208,-0.967185,-0.626116,-0.04618,-0.959312,0.153795,1.344681,3.044158,4.365891
11,0.893845,-0.976918,-0.636443,-0.046982,-0.960114,0.161022,1.281649,3.862381,4.239976
12,0.898483,-0.979351,-0.615788,-0.057422,-0.944854,0.138536,1.533478,3.610551,4.114211
13,0.898483,-0.979351,-0.615788,-0.063044,-0.960918,0.162628,1.344681,3.610551,4.114211
14,0.893845,-0.989084,-0.631279,-0.054211,-0.94887,0.162628,1.470596,3.799498,4.491806
15,0.900801,-0.972052,-0.613206,-0.05662,-0.954492,0.14978,1.218766,3.736466,4.303008
16,0.905439,-0.967185,-0.623534,-0.050195,-0.94887,0.143353,1.344681,3.673583,4.239976
17,0.898483,-0.969618,-0.631279,-0.061437,-0.94887,0.157006,1.722276,3.799498,4.114211
18,0.905439,-0.967185,-0.626116,-0.059029,-0.956098,0.136929,1.281649,3.358871,4.554689
19,0.889208,-0.964752,-0.628698,-0.055815,-0.952885,0.161826,1.533478,3.358871,4.680604
20,0.889208,-0.964752,-0.628698,-0.058226,-0.949674,0.125685,1.155883,3.988296,4.428923
21,0.900801,-0.972052,-0.608042,-0.042164,-0.952885,0.156204,1.407564,3.484786,4.365891
22,0.900801,-0.969618,-0.636443,-0.049391,-0.95369,0.176281,1.596361,3.484786,4.428923
23,0.893845,-0.974484,-0.644189,-0.052604,-0.962523,0.148975,1.092851,3.484786,4.051179
24,0.898483,-0.976918,-0.636443,-0.042164,-0.954492,0.140945,1.092851,3.799498,4.365891
25,0.898483,-0.979351,-0.631279,-0.049391,-0.957705,0.175479,1.344681,3.925264,4.554689
26,0.898483,-0.979351,-0.631279,-0.0518,-0.960114,0.132111,1.281649,3.358871,4.554689
27,0.889208,-0.972052,-0.626116,-0.053407,-0.960918,0.156204,1.470596,3.547668,4.428923
28,0.900801,-0.967185,-0.61837,-0.053407,-0.960918,0.141749,1.218766,3.799498,4.114211
29,0.898483,-0.967185,-0.610624,-0.059029,-0.950476,0.148173,1.533478,3.610551,4.365891
30,0.905439,-0.964752,-0.641607,-0.059029,-0.94887,0.139338,0.966936,3.232956,4.051179
31,0.886889,-0.974484,-0.60546,-0.049391,-0.95369,0.136929,0.904053,3.610551,3.925264
32,0.889208,-0.967185,-0.620952,-0.048589,-0.960114,0.130505,1.344681,3.170073,4.428923
33,0.889208,-0.967185,-0.620952,-0.054211,-0.94887,0.1554,1.029968,3.421754,4.554689
34,0.898483,-0.967185,-0.613206,-0.046982,-0.957705,0.14978,1.470596,3.295839,4.365891
35,0.898483,-0.967185,-0.639025,-0.0518,-0.956098,0.159415,1.029968,3.421754,4.680604
36,0.896164,-0.972052,-0.623534,-0.055815,-0.946461,0.166644,0.904053,3.421754,4.239976
37,0.90312,-0.976918,-0.620952,-0.060635,-0.960114,0.142551,1.407564,3.358871,4.869551
38,0.90312,-0.972052,-0.60546,-0.050998,-0.955296,0.156204,1.596361,3.610551,4.177094
39,0.90312,-0.972052,-0.60546,-0.063044,-0.950476,0.170659,1.659393,3.358871,4.303008
40,0.898483,-0.979351,-0.636443,-0.05662,-0.944052,0.170659,1.281649,3.610551,4.365891
41,0.896164,-0.967185,-0.628698,-0.052604,-0.959312,0.179495,1.092851,3.673583,3.988296
42,0.893845,-0.967185,-0.623534,-0.05662,-0.957705,0.151384,1.029968,3.421754,4.114211
43,0.893845,-0.972052,-0.597714,-0.052604,-0.944854,0.140945,1.407564,3.736466,4.365891
44,0.889208,-0.984217,-0.623534,-0.055815,-0.951281,0.135323,0.904053,3.295839,4.869551
45,0.905439,-0.986651,-0.615788,-0.053407,-0.954492,0.152991,1.407564,3.358871,4.303008
46,0.905439,-0.986651,-0.615788,-0.067864,-0.95369,0.162628,1.155883,3.547668,4.239976
47,0.893845,-0.974484,-0.639025,-0.04618,-0.96172,0.135323,1.281649,3.421754,4.617721
48,0.900801,-0.979351,-0.644189,-0.061437,-0.948067,0.173873,1.533478,3.547668,4.239976
49,0.889208,-0.986651,-0.61837,-0.061437,-0.954492,0.152991,1.281649,3.547668,4.806519
50,0.893845,-0.989084,-0.641607,-0.052604,-0.956901,0.152189,1.344681,4.428923,4.303008
51,0.893845,-0.969618,-0.615788,-0.053407,-0.952083,0.151384,1.281649,3.295839,4.303008
52,0.907757,-0.969618,-0.613206,-0.059831,-0.957705,0.143353,1.281649,3.799498,4.365891
53,0.907757,-0.969618,-0.613206,-0.05662,-0.952083,0.161022,1.722276,3.610551,4.428923
54,0.898483,-0.984217,-0.600296,-0.055013,-0.944854,0.161826,1.281649,3.610551,4.554689
55,0.889208,-0.979351,-0.636443,-0.055013,-0.955296,0.150582,0.966936,3.170073,3.925264
56,0.896164,-0.979351,-0.644189,-0.058226,-0.946461,0.140945,1.281649,3.736466,4.428923
57,0.900801,-0.972052,-0.620952,-0.042967,-0.941643,0.158613,1.155883,3.107041,4.177094
58,0.898483,-0.972052,-0.623534,-0.053407,-0.942445,0.170659,1.470596,3.673583,3.736466
59,0.898483,-0.972052,-0.623534,-0.055013,-0.949674,0.143353,1.281649,3.484786,4.365891
60,0.896164,-0.974484,-0.61837,-0.061437,-0.952083,0.148975,1.155883,3.736466,4.806519
61,0.893845,-0.974484,-0.608042,-0.050195,-0.957705,0.159415,0.904053,3.673583,4.365891
62,0.912395,-0.969618,-0.615788,-0.049391,-0.942445,0.140945,1.533478,3.799498,4.303008
63,0.900801,-0.989084,-0.626116,-0.0518,-0.957705,0.16022,1.344681,3.610551,4.554689
64,0.907757,-0.981784,-0.641607,-0.048589,-0.952885,0.1554,1.344681,3.925264,4.177094
65,0.910076,-0.974484,-0.620952,-0.057422,-0.948067,0.148975,0.966936,3.232956,4.428923
66,0.910076,-0.974484,-0.620952,-0.0518,-0.958507,0.142551,1.281649,3.736466,4.303008
67,0.898483,-0.974484,-0.623534,-0.055815,-0.959312,0.146567,1.218766,3.610551,4.554689
68,0.900801,-0.981784,-0.613206,-0.058226,-0.964934,0.161022,1.155883,3.673583,4.114211
69,0.900801,-0.974484,-0.631279,-0.044573,-0.954492,0.147369,1.092851,3.610551,4.428923
70,0.891527,-0.974484,-0.61837,-0.060635,-0.952083,0.148173,1.407564,3.484786,4.680604
71,0.905439,-0.972052,-0.633861,-0.058226,-0.94887,0.150582,1.533478,3.736466,4.303008
72,0.905439,-0.972052,-0.633861,-0.0518,-0.944052,0.14978,1.029968,3.484786,4.617721
73,0.907757,-0.974484,-0.633861,-0.059831,-0.940037,0.151384,1.533478,3.547668,4.428923
74,0.900801,-0.979351,-0.636443,-0.063044,-0.945659,0.148173,1.344681,3.610551,4.114211
75,0.891527,-0.976918,-0.649353,-0.05662,-0.955296,0.150582,1.218766,3.358871,4.303008
76,0.896164,-0.972052,-0.623534,-0.057422,-0.958507,0.175479,1.155883,3.925264,5.310029
77,0.907757,-0.981784,-0.639025,-0.058226,-0.952083,0.1554,1.155883,3.736466,4.303008
78,0.900801,-0.972052,-0.646771,-0.0518,-0.950476,0.162628,0.904053,3.170073,4.617721
79,0.900801,-0.972052,-0.646771,-0.050195,-0.945659,0.151384,1.344681,3.673583,4.554689
80,0.900801,-0.969618,-0.631279,-0.055815,-0.952885,0.177084,1.218766,3.925264,4.428923
81,0.907757,-0.974484,-0.608042,-0.058226,-0.962523,0.158613,1.344681,3.799498,4.177094
82,0.910076,-0.969618,-0.608042,-0.057422,-0.952083,0.158613,1.344681,3.610551,4.239976
83,0.896164,-0.976918,-0.639025,-0.054211,-0.948067,0.175479,1.596361,3.673583,4.428923
84,0.905439,-0.974484,-0.60546,-0.055815,-0.948067,0.16022,1.596361,3.673583,4.428923
85,0.905439,-0.974484,-0.60546,-0.060635,-0.957705,0.143353,1.533478,3.421754,5.121231
86,0.907757,-0.984217,-0.61837,-0.049391,-0.957705,0.161022,1.281649,3.736466,4.428923
87,0.90312,-0.976918,-0.613206,-0.059831,-0.95369,0.151384,1.155883,3.170073,4.303008
88,0.886889,-0.974484,-0.615788,-0.050195,-0.955296,0.145764,0.966936,3.673583,4.365891
89,0.898483,-0.976918,-0.641607,-0.057422,-0.956901,0.152991,1.281649,3.358871,4.554689
90,0.893845,-0.976918,-0.631279,-0.055013,-0.94887,0.161826,1.155883,3.547668,4.303008
91,0.882252,-0.979351,-0.60546,-0.050998,-0.960918,0.164235,1.596361,3.736466,4.680604
92,0.882252,-0.979351,-0.60546,-0.050195,-0.96172,0.142551,1.155883,3.799498,4.303008
93,0.886889,-0.989084,-0.626116,-0.048589,-0.939234,0.162628,1.533478,3.484786,4.491806
94,0.889208,-0.972052,-0.623534,-0.052604,-0.945659,0.138536,1.281649,3.547668,4.303008
95,0.893845,-0.972052,-0.639025,-0.055815,-0.952885,0.147369,1.722276,3.673583,4.303008
96,0.898483,-0.969618,-0.61837,-0.062242,-0.959312,0.169053,1.533478,3.421754,4.680604
97,0.889208,-0.986651,-0.620952,-0.059029,-0.948067,0.140945,1.407564,3.421754,4.617721
98,0.889208,-0.986651,-0.620952,-0.071879,-0.944052,0.163433,1.344681,3.925264,4.239976
99,0.896164,-0.979351,-0.615788,-0.048589,-0.956901,0.173873,1.218766,3.673583,4.428923
100,0.886889,-0.984217,-0.608042,-0.049391,-0.951281,0.16022,1.407564,3.736466,4.365891
101,0.898483,-0.976918,-0.657099,-0.050998,-0.960918,0.188328,1.722276,3.610551,4.177094
102,0.896164,-0.989084,-0.60546,-0.05662,-0.960918,0.166644,1.092851,3.610551,4.239976
103,0.891527,-0.976918,-0.633861,-0.055815,-0.949674,0.120867,1.218766,3.610551,4.303008
104,0.893845,-0.969618,-0.61837,-0.059029,-0.94887,0.151384,1.659393,3.421754,3.925264
105,0.893845,-0.969618,-0.61837,-0.058226,-0.956098,0.147369,1.470596,3.421754,4.617721
106,0.889208,-0.969618,-0.615788,-0.045376,-0.952885,0.148975,1.407564,3.421754,4.177094
107,0.907757,-0.984217,-0.61837,-0.055013,-0.940839,0.167448,1.596361,3.610551,4.051179
108,0.90312,-0.984217,-0.595133,-0.048589,-0.959312,0.16022,1.407564,3.610551,4.806519
109,0.893845,-0.981784,-0.613206,-0.052604,-0.959312,0.184312,1.281649,3.295839,3.925264
110,0.905439,-0.972052,-0.615788,-0.050998,-0.949674,0.14496,1.407564,3.421754,4.239976
111,0.898483,-0.974484,-0.615788,-0.047784,-0.952885,0.131307,1.407564,3.484786,4.806519
112,0.898483,-0.974484,-0.615788,-0.055013,-0.954492,0.171464,1.029968,3.610551,4.114211
113,0.898483,-0.976918,-0.654517,-0.052604,-0.960918,0.143353,1.533478,3.232956,4.428923
114,0.898483,-0.979351,-0.623534,-0.062242,-0.956901,0.150582,1.407564,3.170073,4.239976
115,0.891527,-0.979351,-0.623534,-0.050998,-0.954492,0.1554,1.470596,4.114211,4.177094
116,0.889208,-0.974484,-0.600296,-0.046982,-0.955296,0.177888,1.407564,3.610551,4.114211
117,0.886889,-0.969618,-0.639025,-0.059831,-0.959312,0.163433,1.533478,3.421754,4.365891
118,0.886889,-0.969618,-0.639025,-0.058226,-0.952885,0.154598,1.533478,3.421754,4.617721
119,0.886889,-0.974484,-0.613206,-0.059831,-0.952083,0.150582,1.344681,3.484786,3.988296
120,0.886889,-0.979351,-0.615788,-0.052604,-0.952083,0.135323,1.407564,3.170073,4.617721
121,0.889208,-0.972052,-0.608042,-0.047784,-0.954492,0.156204,1.533478,3.925264,4.114211
122,0.889208,-0.984217,-0.641607,-0.055013,-0.959312,0.144158,1.659393,3.547668,4.239976
123,0.891527,-0.974484,-0.633861,-0.059029,-0.952885,0.158613,1.155883,3.862381,4.491806
124,0.898483,-0.969618,-0.644189,-0.053407,-0.946461,0.16022,1.092851,3.673583,4.491806
125,0.898483,-0.969618,-0.644189,-0.050998,-0.952083,0.145764,1.218766,3.421754,4.680604
126,0.891527,-0.969618,-0.61837,-0.062242,-0.952885,0.135323,1.470596,3.044158,3.925264
127,0.889208,-0.974484,-0.615788,-0.045376,-0.964934,0.150582,1.218766,3.610551,4.239976
128,0.884571,-0.969618,-0.639025,-0.069468,-0.958507,0.169053,1.281649,3.673583,4.617721
129,0.896164,-0.964752,-0.623534,-0.048589,-0.94887,0.162628,1.155883,3.232956,3.925264
130,0.900801,-0.969618,-0.608042,-0.063044,-0.946461,0.153795,1.155883,3.673583,3.988296
131,0.900801,-0.969618,-0.608042,-0.065453,-0.954492,0.165037,1.974106,3.421754,3.799498
132,0.893845,-0.972052,-0.613206,-0.048589,-0.950476,0.139338,1.407564,3.799498,4.303008
133,0.896164,-0.964752,-0.584805,-0.062242,-0.967342,0.148173,1.155883,3.547668,4.239976
134,0.893845,-0.974484,-0.615788,-0.048589,-0.960918,0.150582,1.659393,3.610551,3.925264
135,0.896164,-0.972052,-0.608042,-0.0518,-0.959312,0.165842,1.533478,3.547668,4.743636
136,0.889208,-0.962319,-0.608042,-0.055815,-0.970554,0.154598,1.533478,3.736466,3.925264
137,0.896164,-0.984217,-0.60546,-0.055013,-0.96172,0.146567,1.407564,3.421754,4.303008
138,0.896164,-0.984217,-0.60546,-0.057422,-0.960918,0.143353,1.218766,3.484786,4.177094
139,0.889208,-0.979351,-0.623534,-0.050195,-0.955296,0.164235,1.281649,3.799498,4.680604
140,0.889208,-0.976918,-0.615788,-0.057422,-0.955296,0.161826,1.596361,3.421754,4.239976
141,0.90312,-0.979351,-0.626116,-0.045376,-0.964129,0.125685,1.407564,3.610551,4.365891
142,0.893845,-0.962319,-0.639025,-0.055815,-0.950476,0.152189,1.092851,3.547668,4.554689
143,0.896164,-0.976918,-0.613206,-0.049391,-0.964129,0.157006,1.470596,3.547668,4.617721
144,0.896164,-0.976918,-0.613206,-0.039754,-0.960918,0.157811,1.344681,3.484786,4.617721
145,0.891527,-0.974484,-0.623534,-0.053407,-0.962523,0.152189,1.407564,3.547668,4.051179
146,0.896164,-0.969618,-0.626116,-0.059831,-0.952885,0.143353,1.407564,3.421754,4.680604
147,0.884571,-0.969618,-0.639025,-0.050195,-0.956098,0.153795,1.281649,3.736466,3.988296
148,0.898483,-0.967185,-0.641607,-0.048589,-0.950476,0.157811,1.596361,3.358871,4.303008
149,0.896164,-0.981784,-0.615788,-0.05662,-0.948067,0.176281,1.533478,3.547668,4.428923
150,0.896164,-0.974484,-0.620952,-0.063044,-0.963327,0.169053,0.778139,3.610551,4.365891
151,0.896164,-0.974484,-0.620952,-0.061437,-0.94887,0.144158,1.092851,3.736466,4.617721
152,0.893845,-0.969618,-0.620952,-0.047784,-0.957705,0.164235,1.470596,3.232956,4.428923
153,0.896164,-0.972052,-0.602878,-0.052604,-0.959312,0.137733,1.407564,3.736466,4.491806
154,0.889208,-0.972052,-0.61837,-0.053407,-0.966538,0.148975,1.407564,3.673583,4.428923
155,0.893845,-0.962319,-0.615788,-0.052604,-0.94887,0.14496,1.407564,3.799498,4.554689
156,0.896164,-0.964752,-0.633861,-0.061437,-0.962523,0.152991,1.407564,3.673583,4.491806
157,0.896164,-0.964752,-0.633861,-0.061437,-0.956098,0.157811,1.218766,3.610551,4.428923
158,0.889208,-0.972052,-0.628698,-0.062242,-0.948067,0.152991,1.344681,3.484786,4.177094
159,0.893845,-0.984217,-0.615788,-0.052604,-0.954492,0.169053,1.596361,3.799498,4.554689
160,0.891527,-0.976918,-0.620952,-0.053407,-0.96172,0.141749,1.281649,3.547668,4.428923
161,0.905439,-0.976918,-0.615788,-0.05662,-0.94887,0.156204,1.218766,3.421754,4.806519
162,0.896164,-0.967185,-0.608042,-0.047784,-0.960114,0.152189,1.344681,3.484786,4.428923
163,0.900801,-0.972052,-0.628698,-0.050195,-0.947265,0.17869,1.407564,3.736466,3.988296
164,0.900801,-0.972052,-0.628698,-0.059831,-0.959312,0.16022,1.407564,3.925264,3.799498
165,0.905439,-0.969618,-0.644189,-0.064651,-0.956901,0.165037,1.281649,3.295839,4.239976
166,0.889208,-0.981784,-0.620952,-0.052604,-0.951281,0.145764,1.533478,3.610551,4.114211
167,0.912395,-0.974484,-0.600296,-0.043769,-0.960918,0.157811,1.155883,3.862381,3.925264
168,0.900801,-0.974484,-0.602878,-0.055815,-0.960918,0.150582,1.470596,3.799498,4.114211
169,0.891527,-0.967185,-0.610624,-0.052604,-0.94887,0.148975,1.470596,3.232956,4.303008
170,0.891527,-0.976918,-0.639025,-0.058226,-0.954492,0.161826,1.596361,3.484786,4.680604
171,0.891527,-0.976918,-0.639025,-0.048589,-0.950476,0.120867,1.407564,3.673583,4.428923
172,0.893845,-0.976918,-0.620952,-0.0518,-0.957705,0.145764,1.344681,3.358871,4.617721
173,0.893845,-0.974484,-0.61837,-0.055013,-0.952885,0.140142,1.785308,3.358871,4.428923
174,0.900801,-0.974484,-0.623534,-0.053407,-0.959312,0.1554,1.281649,3.799498,4.303008
175,0.898483,-0.979351,-0.60546,-0.053407,-0.94887,0.137733,1.155883,3.799498,4.051179
176,0.900801,-0.972052,-0.60546,-0.062242,-0.945659,0.14978,1.344681,3.484786,4.428923
177,0.900801,-0.972052,-0.60546,-0.060635,-0.965736,0.165842,1.344681,3.421754,4.051179
178,0.891527,-0.984217,-0.60546,-0.055013,-0.957705,0.148975,1.281649,3.484786,4.239976
179,0.893845,-0.986651,-0.61837,-0.055013,-0.957705,0.136127,1.407564,3.547668,4.177094
180,0.891527,-0.976918,-0.615788,-0.058226,-0.95369,0.159415,1.785308,3.547668,4.428923
181,0.893845,-0.974484,-0.633861,-0.055815,-0.952885,0.144158,1.281649,3.610551,4.554689
