Sequence,Geo-X,Geo-Y,Geo-Z,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-z
64,1.774938,0.042581,-1.238031,-0.063848,0.029314,-0.809933,1.407564,3.421754,4.617721
65,1.779575,0.032848,-1.20963,-0.053407,0.030918,-0.817162,1.659393,3.799498,4.869551
66,1.772619,0.035281,-1.204466,-0.052604,0.038951,-0.83483,1.281649,3.547668,4.177094
67,1.774938,0.040147,-1.227703,-0.055013,0.042162,-0.81154,1.533478,3.358871,4.365891
68,1.774938,0.040147,-1.227703,-0.069468,0.04136,-0.825995,1.596361,3.862381,4.365891
69,1.781894,0.04988,-1.207048,-0.052604,0.042967,-0.838041,1.659393,3.925264,4.554689
70,1.774938,0.04988,-1.240613,-0.063044,0.03654,-0.829208,1.911074,3.484786,4.680604
71,1.777257,0.045014,-1.230285,-0.064651,0.047784,-0.813146,1.281649,3.547668,4.680604
72,1.784212,0.04988,-1.214794,-0.062242,0.046178,-0.813948,1.281649,3.547668,4.365891
73,1.777257,0.04988,-1.230285,-0.060635,0.04136,-0.823586,1.533478,3.547668,4.365891
74,1.779575,0.042581,-1.240613,-0.059029,0.048587,-0.817964,1.407564,3.610551,4.491806
75,1.779575,0.042581,-1.240613,-0.055815,0.038147,-0.813948,1.218766,3.799498,4.995317
76,1.774938,0.052313,-1.201884,-0.042164,0.030116,-0.809933,1.659393,3.610551,4.051179
77,1.767982,0.047447,-1.207048,-0.054211,0.042967,-0.822784,1.344681,3.799498,4.743636
78,1.774938,0.030415,-1.225121,-0.053407,0.039754,-0.813146,1.659393,3.673583,4.932433
79,1.770301,0.045014,-1.191556,-0.04618,0.031723,-0.810735,1.596361,3.736466,4.177094
80,1.772619,0.042581,-1.219957,-0.049391,0.034132,-0.817964,1.533478,3.610551,4.365891
81,1.772619,0.042581,-1.219957,-0.063848,0.029314,-0.813948,1.344681,3.610551,4.428923
82,1.765663,0.052313,-1.188974,-0.057422,0.050193,-0.820373,1.911074,3.358871,4.554689
83,1.770301,0.030415,-1.20963,-0.058226,0.03654,-0.825995,1.155883,3.925264,4.554689
84,1.781894,0.037714,-1.230285,-0.061437,0.038951,-0.794673,1.407564,3.610551,4.743636
85,1.779575,0.040147,-1.20963,-0.065453,0.04136,-0.819571,1.533478,3.547668,4.491806
86,1.781894,0.035281,-1.217375,-0.060635,0.034132,-0.822784,1.596361,3.484786,4.365891
87,1.774938,0.045014,-1.230285,-0.060635,0.032525,-0.826799,1.155883,3.295839,4.428923
88,1.774938,0.045014,-1.230285,-0.053407,0.045376,-0.823586,1.344681,3.610551,4.491806
89,1.78885,0.045014,-1.212212,-0.050998,0.035738,-0.822784,1.785308,3.484786,4.743636
90,1.779575,0.040147,-1.238031,-0.058226,0.031723,-0.825995,1.281649,3.421754,4.177094
91,1.779575,0.040147,-1.238031,-0.058226,0.039754,-0.821979,1.407564,3.736466,4.554689
92,1.772619,0.040147,-1.227703,-0.047784,0.035738,-0.819571,1.218766,3.421754,4.239976
93,1.774938,0.045014,-1.227703,-0.053407,0.034934,-0.813146,1.281649,3.358871,4.239976
94,1.774938,0.045014,-1.227703,-0.062242,0.033329,-0.835632,1.470596,3.736466,4.365891
95,1.777257,0.042581,-1.253522,-0.061437,0.039754,-0.807524,1.470596,3.358871,3.925264
96,1.779575,0.030415,-1.230285,-0.064651,0.045376,-0.83483,1.596361,3.799498,4.365891
97,1.777257,0.04988,-1.225121,-0.04618,0.030116,-0.833224,1.344681,3.673583,4.365891
98,1.784212,0.035281,-1.240613,-0.058226,0.037345,-0.815555,1.533478,3.736466,3.988296
99,1.774938,0.04988,-1.227703,-0.060635,0.03654,-0.794673,1.785308,3.484786,4.365891
100,1.774938,0.045014,-1.232867,-0.062242,0.034934,-0.826799,1.281649,3.862381,4.114211
101,1.774938,0.045014,-1.232867,-0.05662,0.046982,-0.8011,1.281649,3.484786,4.239976
