Sequence,Geo-X,Geo-Y,Geo-Z,Acc-X,Acc-Y,Acc-Z,Gyro-X,Gyro-Y,Gyro-z
2,-0.88229,-0.020347,-0.614806,0.039372,-0.023659,-0.94876,-0.417838,0.241748,-0.719514
3,-0.877689,-0.022741,-0.622654,0.036159,-0.032492,-0.967233,0.02279,-0.70239,-0.530716
4,-0.889192,-0.00359,-0.635735,0.038568,-0.02125,-0.973657,-0.417838,-0.135848,-0.719514
5,-0.884591,-0.00359,-0.635735,0.02331,-0.027674,-0.983294,-0.606635,-0.513443,-0.593599
6,-0.88229,-0.005984,-0.633119,0.03375,-0.018037,-0.951171,-0.669518,-0.639358,-0.719514
7,-0.88229,-0.005984,-0.633119,0.043387,-0.020446,-0.98731,-0.354806,-0.009933,-0.341769
8,-0.87999,-0.020347,-0.620038,0.03375,-0.020446,-0.978475,-0.480721,-0.072965,-0.404801
9,-0.886892,-0.013165,-0.622654,0.027326,-0.02687,-0.98731,-0.228891,-0.513443,-0.467684
10,-0.886892,-0.015559,-0.633119,0.042583,-0.033297,-0.975263,-0.103125,-0.072965,-0.845429
11,-0.896094,-0.008378,-0.62527,0.03375,-0.028477,-0.973657,-0.417838,-0.576475,-0.782397
12,-0.87999,-0.013165,-0.622654,0.040979,-0.044539,-0.963217,-0.543603,-0.70239,-0.593599
13,-0.875389,-0.017953,-0.635735,0.040174,-0.018839,-0.971248,-0.354806,-0.45056,0.161741
14,-0.875389,-0.017953,-0.635735,0.039372,-0.025266,-0.97205,-0.480721,-0.072965,-0.593599
15,-0.87999,-0.013165,-0.643584,0.034552,-0.020446,-0.955988,-0.417838,-0.324646,-0.530716
16,-0.877689,-0.00359,-0.640967,0.024915,-0.018839,-0.969641,-0.669518,-0.261763,-0.719514
17,-0.877689,-0.008378,-0.612189,0.030537,-0.02687,-0.972855,-0.543603,-0.009933,-0.782397
18,-0.87999,-0.008378,-0.638351,0.047403,-0.03169,-0.97687,-0.543603,-0.072965,-0.152972
19,-0.877689,-0.008378,-0.601725,0.035356,-0.032492,-0.952775,-0.228891,-0.324646,-0.027057
20,-0.877689,-0.008378,-0.601725,0.034552,-0.023659,-0.968035,-0.73255,0.115982,-0.593599
21,-0.88229,-0.00359,-0.627886,0.02331,-0.022052,-0.965626,-0.543603,-0.135848,-0.467684
22,-0.889192,-0.010771,-0.62527,0.036159,-0.02687,-0.968035,-1.047263,-0.072965,-0.593599
23,-0.88229,-0.020347,-0.622654,0.040979,-0.022855,-0.995341,-0.354806,-0.387677,-0.845429
24,-0.87999,-0.020347,-0.654048,0.034552,-0.030886,-0.971248,-0.606635,-0.135848,-0.845429
25,-0.87999,-0.010771,-0.661897,0.037765,-0.022052,-0.973657,-0.73255,-0.324646,-0.530716
26,-0.868487,-0.005984,-0.648816,0.038568,-0.024461,-0.97687,-0.103125,-0.324646,-0.341769
27,-0.868487,-0.005984,-0.648816,0.043387,-0.025266,-0.963217,-0.291923,-0.324646,-0.216004
28,-0.884591,-0.025134,-0.635735,0.044994,-0.02687,-0.966428,-0.606635,-0.198731,-0.593599
29,-0.87999,-0.020347,-0.638351,0.034552,-0.01643,-0.969641,-0.103125,-0.009933,-0.782397
30,-0.877689,-0.015559,-0.635735,0.038568,-0.019644,-0.968837,-0.921348,0.430694,-0.404801
31,-0.87999,-0.010771,-0.627886,0.038568,-0.02125,-0.971248,-0.480721,0.241748,-0.593599
32,-0.884591,-0.013165,-0.620038,0.037765,-0.023659,-0.968837,-0.354806,-0.324646,-0.593599
33,-0.884591,-0.013165,-0.620038,0.049812,-0.035705,-0.961611,-0.040093,0.178865,-0.593599
34,-0.891493,-0.010771,-0.635735,0.030537,-0.014824,-0.967233,0.02279,-0.135848,-0.593599
35,-0.88229,-0.020347,-0.648816,0.043387,-0.036508,-0.968035,-0.354806,-0.135848,-0.593599
36,-0.87999,-0.020347,-0.62527,0.030537,-0.015628,-0.97205,-0.606635,-0.072965,-0.404801
37,-0.875389,-0.022741,-0.612189,0.034552,-0.019644,-0.970444,-0.669518,-0.387677,-0.530716
38,-0.893794,-0.027528,-0.617422,0.039372,-0.02125,-0.978475,-0.795433,0.178865,-0.782397
39,-0.893794,-0.027528,-0.617422,0.036159,-0.030886,-0.975263,-0.166008,-0.198731,-0.467684
40,-0.886892,-0.029922,-0.604341,0.027326,-0.019644,-0.979279,-0.606635,-0.261763,-0.530716
41,-0.884591,-0.025134,-0.627886,0.046599,-0.028477,-0.974459,-0.166008,-0.072965,-0.656482
42,-0.886892,-0.010771,-0.614806,0.028128,-0.030083,-0.985703,-0.103125,-0.135848,-0.404801
